Dataset Name,Dataset source/creator,Link to Dataset,Country,State,Temporal Resolution,Temporal range - Start,Temporal range - End,Spatial Resolution,Description,Keywords
OEM Emergency Notifications,Office of Emergency Management (OEM); Owner: NYC OpenData,https://data.cityofnewyork.us/Public-Safety/OEM-Emergency-Notifications/8vv7-7wx3,United States of America,New York,minute,01/01/1900 12:00:00,4/27/2020 11:00:00,city,Messages sent with information about emergency events and important City services.,"NYC, OEM, emergency, notifications"
NYC Coronavirus (COVID-19) data,NYC Health Department,https://github.com/nychealth/coronavirus-data/blob/master/case-hosp-death.csv,United States of America,New York,day,03/03/2020,4/20/2020,city,"Daily counts of  on coronavirus (COVID-19) of new confirmed cases, hospitalizations, and deaths in New York City (NYC)","NYC, COVID-19, confirmed cases"
